plume_id,plume_time,lat,lon,has_90,has_360,ch4_var,image_path,center_iy,center_ix,label
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_00.npz,2487,141,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/neg/GAO20200807t162452p0000-B/s5p_neg_00.npz,2666,182,0
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_01.npz,2486,141,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_02.npz,2487,140,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/neg/GAO20200807t162452p0000-B/s5p_neg_02.npz,2985,204,0
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_03.npz,2487,142,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/neg/GAO20200807t162452p0000-B/s5p_neg_03.npz,3196,191,0
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_04.npz,2488,141,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/neg/GAO20200807t162452p0000-B/s5p_neg_04.npz,2628,164,0
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_05.npz,2486,140,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/neg/GAO20200807t162452p0000-B/s5p_neg_05.npz,2588,49,0
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_06.npz,2486,142,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/pos/GAO20200807t162452p0000-B/s5p_pos_07.npz,2488,140,1
GAO20200807t162452p0000-B,2020-08-07T16:24:52+00,39.94487031,-109.4618541,True,True,methane_mixing_ratio_bias_corrected,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/s5p_patches_5x5_to_32_offl_triplet/samples2/neg/GAO20200807t162452p0000-B/s5p_neg_07.npz,2529,145,0
